id,name,slug,description,website,city,created_at,updated_at,user_id,logo_url,tags
0851be0e-feda-4bd0-812e-cf72e373ee3b,NextGen,nextgen,"NextGen is the student-run founder network behind Slush’D Ghent and the Tectonic summit, two high-energy conferences that connect 2 000 + builders with capital, mentors and each other. ",https://www.tectonicconf.eu/,Leuven,2025-08-01 09:47:28.449031+00,2025-08-01 09:47:28.449031+00,fef3ea4e-eb70-45ff-9ea6-fcc2ad9b198f,https://media.licdn.com/dms/image/v2/D4E0BAQEObef9-vmNDA/company-logo_200_200/B4EZews58SHIAM-/0/1751016253260/ghentslushd_logo?e=2147483647&v=beta&t=Xrd0kgp4Z_590xbQtE_DxCSV5TFzArZNn0m9MffWThc,[]
0d6451de-f9a6-4877-a496-d60bf12c148a,North Star AGI,north-star-agi,"North Star AGI is a hands-on AI and robotics community based in Antwerp, Belgium. We bring together engineers, innovators, and enthusiasts to build the future of AI in Europe. Our mission is to connect talent, support startups, and reduce friction in the Belgian AI ecosystem.

We organize events such as AI talks, community meetups, hackathons, and hands-on workshops. In just 4 months, we’ve hosted 4 events and grown to over 200 members. Our focus is on action, collaboration, and highlighting local talent.",https://www.ns2agi.com/,Antwerp,2025-08-01 07:25:14.016838+00,2025-08-01 07:25:14.016838+00,fef3ea4e-eb70-45ff-9ea6-fcc2ad9b198f,https://media.licdn.com/dms/image/v2/D4E0BAQFnhYflBhcaEA/company-logo_100_100/B4EZa_ykyTHMAQ-/0/1746974430811/north_star_agi_logo?e=1756944000&v=beta&t=eigjesC51v8z8_dDaTqSyZnEcsWYuox4X74KHHnM24c,"[""AI"",""Robotics""]"
11056582-9160-4a25-9c48-527e7c93597d,Brucon,brucon,"BruCON is Belgium’s flagship hacker conference, held each autumn in Ghent, mixing three days of deep-dive trainings with a two-day talk track and a 48-hour capture-the-flag. Run entirely by volunteers, it draws 700 + security engineers, researchers and policy hackers from across Europe to trade tools, exploits and beer in equal measure.
",https://www.brucon.org/,Antwerp,2025-08-01 09:46:09.611707+00,2025-08-01 09:46:09.611707+00,fef3ea4e-eb70-45ff-9ea6-fcc2ad9b198f,https://static.wixstatic.com/media/e81177_5eba6528ee5c42859bc2963fa3b2801a~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/e81177_5eba6528ee5c42859bc2963fa3b2801a~mv2.png,[]
20690a5b-9e36-4412-a9ce-aa091ca0f88b,Belgium NLP Meetup,belgium-nlp-meetup,"Belgium NLP Meetup gathers 2 500 + researchers and engineers in Leuven to trade breakthroughs in language models, text mining and speech tech. Since 2016 the group has staged 25 + meetups, each featuring three pragmatic talks and an open-mic community slot. Show up for jargon-free knowledge-sharing, strong networking. The events are hosted across different cities in Belgium.
",https://www.meetup.com/belgium-nlp-meetup/,Brussels,2025-08-01 09:39:31.765168+00,2025-08-01 09:39:31.765168+00,fef3ea4e-eb70-45ff-9ea6-fcc2ad9b198f,https://media.licdn.com/dms/image/sync/v2/D4E27AQEyadIhQOJa8Q/articleshare-shrink_800/articleshare-shrink_800/0/1728661874184?e=2147483647&v=beta&t=CNFjy8thuJ2P7PmnNxeINEA0Cc3IXXEKcc92UAMI4w0,[]
27fdec35-3ff5-4bf9-b48d-4446bf9d9274,BeCentral,becentral,"BeCentral is Brussels-Central Station’s 10 500 m² digital campus where coding schools, startups and NGOs join forces to close Belgium’s digital-skills gap. 
 Founded in 2017 by more than 60 entrepreneurs, the campus packs classrooms, co-working floors and maker labs designed to turn curious learners into impact-driven tech talent. 
 Grab a seat and help drive their mission: making every Belgian an active actor in the digital revolution. ",https://www.becentral.org/,Brussels,2025-08-01 09:29:46.26651+00,2025-08-01 09:29:46.26651+00,fef3ea4e-eb70-45ff-9ea6-fcc2ad9b198f,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsCM00_jdC-r43vpLU4IkEboI-J1KHPoMb_w&s,"[""Coworking""]"
28feb195-ea75-48bc-a2ed-75bcc45a77d2,Commons Hub Brussels,commons-hub-brussels,"The Commons Hub is a shared space opposite Central Station where citizens, collectives and social enterprises co-create, work and host events while stewarding the building itself as a common good. Every member is “crew,” sharing ownership and day-to-day responsibility—proof that community governance can out-perform private control. Step inside to meet collaborators rebuilding the commons and testing regenerative-economy ideas in real time.",https://commonshub.brussels/#calendar,Brussels,2025-08-01 09:31:35.122108+00,2025-08-01 09:31:35.122108+00,fef3ea4e-eb70-45ff-9ea6-fcc2ad9b198f,https://framerusercontent.com/assets/26TEwxKzcW5CnT4vRtVx1vGGjo0.jpg,"[""Coworking""]"
2d47bf04-eb03-40fb-8c47-e25e6bb76a35,Hackerspace Gent (0x20),hackerspace-gent-0x20,"Hackerspace Gent—aka 0x20—is Ghent’s self-governed playground for constructive hacking, nestled inside Stadsmakers at Wiedauwkaai 51. Weekly Thursday socials and Sunday hack sabbaths power projects from open-source software to robotics, lock-picking and music tech. Bring curiosity (and maybe coffee); since 2009 the space has run entirely on shared passion and peer-to-peer learning.",https://hackerspace.gent/,Ghent,2025-08-01 09:35:00.450869+00,2025-08-01 09:35:00.450869+00,fef3ea4e-eb70-45ff-9ea6-fcc2ad9b198f,https://wiki.hackerspaces.org/images/4/4e/Hsg2.png,[]
306ab325-4aed-4be2-a50e-23957f7878a4,Generative AI Belgium,generative-ai-belgium,"Generative AI Belgium is a 3 000-strong Ghent-based meetup that spotlights the real-world power of GenAI across art, design and business. Monthly evening sessions pack auditoriums with 400 + practitioners for lightning demos, deep-dive talks and frank debate. Join to swap prompts, projects and policy insights with Europe’s fastest-growing GenAI crowd.
",https://www.linkedin.com/company/generative-ai-belgium/posts/?feedView=all,Ghent,2025-08-01 09:38:12.649377+00,2025-08-01 09:38:12.649377+00,fef3ea4e-eb70-45ff-9ea6-fcc2ad9b198f,https://media.licdn.com/dms/image/v2/D4E0BAQG1sqayOeX-SA/company-logo_200_200/company-logo_200_200/0/1682009598770?e=2147483647&v=beta&t=8jx9bO2GjdbtBW6SMSqk8SokghumTvFPUWJt1S2ENZU,[]
33ed45e6-5980-4ea0-8720-44694d21acf3,FuckUp Nights Brussels and Wallonia - Powered by Pulse,fuckupnights-brussels-and-wallonia---powered-by-pulse,"Fuckup Nights is a global movement and event series that shares stories of professional failure. Each month, in events across the globe, we get three to four people to get up in front of a room full of strangers to share their own professional fuckup. The stories of the business that crashes and burns, the partnership deal that goes sour, the product that has to be recalled, we tell them all.",https://www.fuckupnights.com/city/brussels-and-wallonia,Brussels,2025-08-12 18:23:54.125643+00,2025-08-12 18:25:52.262872+00,fef3ea4e-eb70-45ff-9ea6-fcc2ad9b198f,https://cdn.prod.website-files.com/6272d152ce88bb6041159bb7/62740049e4834ec73555527c_Fuckup-Nights-Logo-White.png,"[""FR"",""Entrepreneurship"",""Story-telling""]"
3a3b672f-1652-430b-bd8f-f3a3c67d7cba,0xAIF,0xaif,"0xAIF is a Europe-wide guild where technical founders, ML engineers and applied researchers build and ship next-gen AI together. Live-coding sessions, hackathons and “problem jams” turn open-source tools into real-world deployments across climate, health, mobility and more. Join to swap code, spin up projects and find collaborators who speak your stack.",https://0xaif.eu/,Brussels,2025-08-01 15:20:41.741825+00,2025-08-01 15:20:41.741825+00,4ce70e37-3bc1-48b5-8002-555794d0e853,,[]
